Page,Profile,control_FCP_ms,control_LCP_ms,control_TBT_ms,control_CLS,control_SI_ms,control_TTFB_ms,control_JS_KB,control_PageWeight_KB,image-opt_FCP_ms,image-opt_LCP_ms,image-opt_TBT_ms,image-opt_CLS,image-opt_SI_ms,image-opt_TTFB_ms,image-opt_JS_KB,image-opt_PageWeight_KB,rsc_FCP_ms,rsc_LCP_ms,rsc_TBT_ms,rsc_CLS,rsc_SI_ms,rsc_TTFB_ms,rsc_JS_KB,rsc_PageWeight_KB,modern_FCP_ms,modern_LCP_ms,modern_TBT_ms,modern_CLS,modern_SI_ms,modern_TTFB_ms,modern_JS_KB,modern_PageWeight_KB,nodelay_FCP_ms,nodelay_LCP_ms,nodelay_TBT_ms,nodelay_CLS,nodelay_SI_ms,nodelay_TTFB_ms,nodelay_JS_KB,nodelay_PageWeight_KB
Homepage,none,117.5,284,113.5,0.069,1069,26,170,152599,96,136.5,129.5,0.069,837,39,197,872,86.5,86.5,0,0,298,21,173,688,70,79.5,0,0,270.5,255.5,173,688,98,98,0,0,290,44.5,166,682
Category/Running,none,76,243.5,155,0.069,913,41.5,176,31228,115,158,149,0.069,979.5,153.5,217,589,91.5,114.5,0,0,504,273,180,513,79.5,79.5,0,0,241,28,180,513,77,77,0,0,143,26.5,180,513
Category/Training,none,117.5,279.5,149.5,0.069,1229.5,24,176,35825,122,156.5,149,0.069,793,38.5,216.5,706,77,110,0,0,320,26.5,180,633,87.5,88,0,0,277,42.5,180,632.5,121.5,123,0,0,332,36.5,180,633
Category/Lifestyle,none,93,340,155.5,0.069,1420,34.5,176,35709,82.5,124.5,149,0.069,830,43,216,481,57.5,91.5,0,0,394,49,180,410,87,96,0,0,245.5,37,180,410.5,77.5,87.5,0,0,234.5,161,180,411
Category/Basketball,none,79,296,151,0.069,1016.5,24.5,176,7222,102.5,150.5,150,0.069,837,167.5,217,494,68.5,100.5,0,0,301,50,180,414,71.5,71.5,0,0,258,44,180,414,79,79,0,0,274.5,134,180,414
Category/Football,none,86.5,349,196,0.069,1095,28,176,40890,152,190,149.5,0.069,1136.5,166.5,217,740,67.5,97.5,0,0,345,154,180,661,85,85,0,0,188.5,27,180,661,62,68.5,0,0,250.5,26,180,661
Cart,none,107.5,142.5,128.5,0.04,420,37.5,170,308,87,126.5,131,0.04,462,135,197,335,51,51,0,0,129.5,16.5,167,269,49.5,52,0,0,177.5,30,167,269.5,68,68,0,0,180,21.5,167,270
Product Detail,none,134,301.5,150,0.056,932.5,39,172,2947,107,147,150,0.056,794.5,251.5,213,404,59.5,90.5,0,0,271,32.5,173,329,105.5,105.5,0,0,174,35,173,326,58,58,0,0,158,41,173,329
Homepage,4g,1797,5156,117,0.069,3695.5,30.5,170,152599,1827.5,3028.5,88,0.069,2624,42,197,872,1142.5,1636,44,0,1164,21.5,166.5,681.5,1149,1598.5,40.5,0,1179.5,42,169.5,685,1141.5,1548.5,45.5,0,1197,40.5,166,682
Category/Running,4g,1795,4425,752.5,0.069,3642.5,26,176,31228,1780.5,2981,752,0.069,2826,39,217,589,1074.5,1762.5,16.5,0,1276.5,46,180,513,1065,1521.5,19,0,1065,24,180,513,1099.5,1541.5,22,0,1248,252.5,180,513
Category/Training,4g,1789.5,4611,753,0.069,4058.5,44,176,35825,1800,3000,752,0.069,3085,34,217,706,1146,1811,45.5,0,1572.5,148,180,633,1174.5,1586.5,21,0,1183,22.5,180,632.5,1205.5,1610,25,0,1233,32,180,633
Category/Lifestyle,4g,1796.5,5190.5,794.5,0.069,5266,48.5,176,35709,1781,2989,753,0.069,2566,44,217,481,1069.5,1701,36.5,0,1172.5,24,180,410.5,1066.5,1409.5,40,0,1069.5,26,180,411,1082.5,1438.5,43,0,1113,23.5,180,410.5
Category/Basketball,4g,1779,5120,752,0.069,3364,45,176,7222,1770.5,2970.5,752.5,0.069,2582.5,272.5,217,494,1067.5,1708.5,45.5,0,1203,45,180,414,1073,1418.5,46,0,1098.5,46,180,414,1084,1424,43.5,0,1084,27,180,414
Category/Football,4g,1805,5398.5,850.5,0.069,3952,27.5,176,40890,1779.5,2979.5,753,0.069,2663.5,36,217,740,1075,1664.5,33,0,1161,20.5,180,661,1083.5,1426.5,40,0,1089.5,17.5,180,661,1096,1574.5,34.5,0,1101.5,20.5,180,661
Cart,4g,1800,3000.5,0,0.04,1817,42.5,170,308,1790,2991.5,3.5,0.04,2015,280.5,197,335,933.5,1392,36.5,0,933.5,18,167,269,959,1291.5,39,0,967.5,34.5,167,269.5,958.5,1318.5,41,0,1098.5,67,167,269
Product Detail,4g,1802,5203,752.5,0.056,3540.5,21.5,172,2947,1765.5,2972.5,754,0.056,2419,19,212,404,1092,1665.5,33.5,0,1359,26,173,329,1081,1432,23,0,1081,42.5,173,327,1073.5,1447,41.5,0,1089,35,173,329
