Page,Profile,control_FCP_ms,control_LCP_ms,control_TBT_ms,control_CLS,control_SI_ms,image-opt_FCP_ms,image-opt_LCP_ms,image-opt_TBT_ms,image-opt_CLS,image-opt_SI_ms,rsc_FCP_ms,rsc_LCP_ms,rsc_TBT_ms,rsc_CLS,rsc_SI_ms,modern_FCP_ms,modern_LCP_ms,modern_TBT_ms,modern_CLS,modern_SI_ms,nodelay_FCP_ms,nodelay_LCP_ms,nodelay_TBT_ms,nodelay_CLS,nodelay_SI_ms,image-opt_vs_control_LCP_%,image-opt_vs_control_TBT_%,rsc_vs_control_LCP_%,rsc_vs_control_TBT_%,modern_vs_control_LCP_%,modern_vs_control_TBT_%,nodelay_vs_control_LCP_%,nodelay_vs_control_TBT_%
Homepage,none,117.5,284,113.5,0.069,1069,96,136.5,129.5,0.069,837,86.5,86.5,0,0,298,70,79.5,0,0,270.5,98,98,0,0,290,-52%,14%,-70%,-100%,-72%,-100%,-65%,-100%
Category/Running,none,76,243.5,155,0.069,913,115,158,149,0.069,979.5,91.5,114.5,0,0,504,79.5,79.5,0,0,241,77,77,0,0,143,-35%,-4%,-53%,-100%,-67%,-100%,-68%,-100%
Category/Training,none,117.5,279.5,149.5,0.069,1229.5,122,156.5,149,0.069,793,77,110,0,0,320,87.5,88,0,0,277,121.5,123,0,0,332,-44%,0%,-61%,-100%,-69%,-100%,-56%,-100%
Category/Lifestyle,none,93,340,155.5,0.069,1420,82.5,124.5,149,0.069,830,57.5,91.5,0,0,394,87,96,0,0,245.5,77.5,87.5,0,0,234.5,-63%,-4%,-73%,-100%,-72%,-100%,-74%,-100%
Category/Basketball,none,79,296,151,0.069,1016.5,102.5,150.5,150,0.069,837,68.5,100.5,0,0,301,71.5,71.5,0,0,258,79,79,0,0,274.5,-49%,-1%,-66%,-100%,-76%,-100%,-73%,-100%
Category/Football,none,86.5,349,196,0.069,1095,152,190,149.5,0.069,1136.5,67.5,97.5,0,0,345,85,85,0,0,188.5,62,68.5,0,0,250.5,-46%,-24%,-72%,-100%,-76%,-100%,-80%,-100%
Cart,none,107.5,142.5,128.5,0.04,420,87,126.5,131,0.04,462,51,51,0,0,129.5,49.5,52,0,0,177.5,68,68,0,0,180,-11%,2%,-64%,-100%,-64%,-100%,-52%,-100%
Product Detail,none,134,301.5,150,0.056,932.5,107,147,150,0.056,794.5,59.5,90.5,0,0,271,105.5,105.5,0,0,174,58,58,0,0,158,-51%,0%,-70%,-100%,-65%,-100%,-81%,-100%
Homepage,4g,1797,5156,117,0.069,3695.5,1827.5,3028.5,88,0.069,2624,1142.5,1636,44,0,1164,1149,1598.5,40.5,0,1179.5,1141.5,1548.5,45.5,0,1197,-41%,-25%,-68%,-62%,-69%,-65%,-70%,-61%
Category/Running,4g,1795,4425,752.5,0.069,3642.5,1780.5,2981,752,0.069,2826,1074.5,1762.5,16.5,0,1276.5,1065,1521.5,19,0,1065,1099.5,1541.5,22,0,1248,-33%,0%,-60%,-98%,-66%,-97%,-65%,-97%
Category/Training,4g,1789.5,4611,753,0.069,4058.5,1800,3000,752,0.069,3085,1146,1811,45.5,0,1572.5,1174.5,1586.5,21,0,1183,1205.5,1610,25,0,1233,-35%,0%,-61%,-94%,-66%,-97%,-65%,-97%
Category/Lifestyle,4g,1796.5,5190.5,794.5,0.069,5266,1781,2989,753,0.069,2566,1069.5,1701,36.5,0,1172.5,1066.5,1409.5,40,0,1069.5,1082.5,1438.5,43,0,1113,-42%,-5%,-67%,-95%,-73%,-95%,-72%,-95%
Category/Basketball,4g,1779,5120,752,0.069,3364,1770.5,2970.5,752.5,0.069,2582.5,1067.5,1708.5,45.5,0,1203,1073,1418.5,46,0,1098.5,1084,1424,43.5,0,1084,-42%,0%,-67%,-94%,-72%,-94%,-72%,-94%
Category/Football,4g,1805,5398.5,850.5,0.069,3952,1779.5,2979.5,753,0.069,2663.5,1075,1664.5,33,0,1161,1083.5,1426.5,40,0,1089.5,1096,1574.5,34.5,0,1101.5,-45%,-11%,-69%,-96%,-74%,-95%,-71%,-96%
Cart,4g,1800,3000.5,0,0.04,1817,1790,2991.5,3.5,0.04,2015,933.5,1392,36.5,0,933.5,959,1291.5,39,0,967.5,958.5,1318.5,41,0,1098.5,0%,N/A,-54%,N/A,-57%,N/A,-56%,N/A
Product Detail,4g,1802,5203,752.5,0.056,3540.5,1765.5,2972.5,754,0.056,2419,1092,1665.5,33.5,0,1359,1081,1432,23,0,1081,1073.5,1447,41.5,0,1089,-43%,0%,-68%,-96%,-72%,-97%,-72%,-94%
Homepage,fast3g,1590,16659,139.5,0.069,3047,1594,3859.5,98,0.069,2898,1015,1940,37,0,1084,1028,1912.5,37,0,1034.5,1043.5,1900,39.5,0,1151.5,-77%,-30%,-88%,-73%,-89%,-73%,-89%,-72%
Category/Running,fast3g,1572.5,12609.5,812,0.069,3406.5,1571.5,3769,792,0.069,2388.5,966,2513,17,0,1353,964,1737,20.5,0,1017,940,2064,19,0,964,-70%,-2%,-80%,-98%,-86%,-97%,-84%,-98%
Category/Training,fast3g,1588.5,13592.5,791.5,0.069,3907.5,1583,3881.5,791,0.069,3027.5,1015,3047.5,42,0,1130.5,1055,2005.5,21,0,1100.5,1055.5,2363,26,0,1060,-71%,0%,-78%,-95%,-85%,-97%,-83%,-97%
Category/Lifestyle,fast3g,1569.5,16723.5,1116,0.069,4218.5,1574.5,3872.5,793,0.069,2204.5,969.5,2569,19.5,0,1273.5,955,1731.5,19,0,984.5,945,1970,22.5,0,947.5,-77%,-29%,-85%,-98%,-90%,-98%,-88%,-98%
Category/Basketball,fast3g,1564,16603.5,795.5,0.069,2612,1578,3661,792.5,0.069,2349,966.5,2363,21.5,0,1156.5,978.5,1525,22,0,1021,963.5,1495.5,22.5,0,994,-78%,0%,-86%,-97%,-91%,-97%,-91%,-97%
